sample,penicillin,gff
6999-5-16,0,data/tutorial_core/gff/6999-5-16.gff3
6999-5-17,1,data/tutorial_core/gff/6999-5-17.gff3
6999-5-18,0,data/tutorial_core/gff/6999-5-18.gff3
6999-5-19,1,data/tutorial_core/gff/6999-5-19.gff3
6999-5-1,0,data/tutorial_core/gff/6999-5-1.gff3
6999-5-20,1,data/tutorial_core/gff/6999-5-20.gff3
6999-5-21,0,data/tutorial_core/gff/6999-5-21.gff3
6999-5-22,1,data/tutorial_core/gff/6999-5-22.gff3
6999-5-23,1,data/tutorial_core/gff/6999-5-23.gff3
6999-5-2,1,data/tutorial_core/gff/6999-5-2.gff3
6999-5-3,0,data/tutorial_core/gff/6999-5-3.gff3
6999-5-4,0,data/tutorial_core/gff/6999-5-4.gff3
6999-5-5,0,data/tutorial_core/gff/6999-5-5.gff3
6999-5-6,0,data/tutorial_core/gff/6999-5-6.gff3
6999-5-7,1,data/tutorial_core/gff/6999-5-7.gff3
6999-5-8,1,data/tutorial_core/gff/6999-5-8.gff3
6999-5-9,0,data/tutorial_core/gff/6999-5-9.gff3
6999-6-10,0,data/tutorial_core/gff/6999-6-10.gff3
6999-6-11,0,data/tutorial_core/gff/6999-6-11.gff3
6999-6-12,0,data/tutorial_core/gff/6999-6-12.gff3
6999-6-13,0,data/tutorial_core/gff/6999-6-13.gff3
6999-6-14,0,data/tutorial_core/gff/6999-6-14.gff3
6999-6-15,0,data/tutorial_core/gff/6999-6-15.gff3
6999-6-16,0,data/tutorial_core/gff/6999-6-16.gff3
6999-6-17,0,data/tutorial_core/gff/6999-6-17.gff3
6999-6-18,0,data/tutorial_core/gff/6999-6-18.gff3
6999-6-19,0,data/tutorial_core/gff/6999-6-19.gff3
6999-6-20,1,data/tutorial_core/gff/6999-6-20.gff3
6999-6-21,1,data/tutorial_core/gff/6999-6-21.gff3
6999-6-22,0,data/tutorial_core/gff/6999-6-22.gff3
6999-6-23,0,data/tutorial_core/gff/6999-6-23.gff3
6999-6-2,1,data/tutorial_core/gff/6999-6-2.gff3
6999-6-3,0,data/tutorial_core/gff/6999-6-3.gff3
6999-6-4,0,data/tutorial_core/gff/6999-6-4.gff3
